Ambient_Temp,Visible,Acceleration_Z,Magnetometer_Y,Acceleration_Y,Infrared,PSU_Voltage,Humidity,Latitude,Satellites,Longitude,Current,Magnetometer_X,Magnetometer_Z,Acceleration_X,Probe_Temp,Light,Altitude,GPS_Fix,File
31.10,589877,0.99,-116.18,-0.08,9,,38.00,0.0,,0.0,,-372.36,-417.96,9.71,5.66,7.71,0.0,0.0,File_6644.json
31.23,1966173,0.88,-116.36,-0.04,30,,39.21,0.0,,0.0,,-372.36,-417.96,9.64,4.72,12.04,0.0,0.0,File_18447.json
30.96,720955,0.92,-116.36,0.00,11,,39.93,0.0,,0.0,,-372.36,-417.96,9.71,14.22,8.48,0.0,0.0,File_11147.json
31.42,10879796,0.96,-115.82,0.00,166,,26.73,0.0,,0.0,,-372.36,-417.96,9.79,5.73,116.49,0.0,0.0,File_8163.json
31.30,10879795,0.84,-115.82,-0.08,166,,35.68,0.0,,0.0,,-372.36,-417.96,9.75,11.92,116.32,0.0,0.0,File_3473.json
30.95,983121,0.88,-116.64,-0.08,15,,25.80,0.0,,0.0,,-372.36,-417.96,9.75,5.60,11.65,0.0,0.0,File_17298.json
31.01,10945334,0.80,-116.09,0.00,167,,32.85,0.0,,0.0,,-372.36,-417.96,9.75,5.70,116.71,0.0,0.0,File_12190.json
31.48,10617639,0.88,-116.00,-0.08,162,,41.55,0.0,,0.0,,-372.36,-417.96,9.79,3.55,114.78,0.0,0.0,File_7920.json
31.35,10617641,0.84,-115.64,-0.08,162,,37.67,0.0,,0.0,,-372.36,-417.96,9.71,0.66,115.11,0.0,0.0,File_12810.json
31.40,10814263,0.88,-116.09,-0.15,165,,23.93,0.0,,0.0,,-372.36,-417.96,9.75,2.37,117.08,0.0,0.0,File_16246.json
31.68,720946,0.88,-116.00,-0.08,11,,19.78,0.0,,0.0,,-372.36,-417.96,9.75,9.13,7.01,0.0,0.0,File_4118.json
30.86,917578,0.84,-116.45,-0.11,14,,37.82,0.0,,0.0,,-372.36,-417.96,9.71,7.61,10.61,0.0,0.0,File_12417.json
31.24,10224417,0.84,-116.09,-0.15,156,,26.86,0.0,,0.0,,-372.36,-417.96,9.75,2.50,114.43,0.0,0.0,File_475.json
31.18,983101,0.96,-116.36,-0.04,15,,39.76,0.0,,0.0,,-372.36,-417.96,9.71,1.50,8.39,0.0,0.0,File_10812.json
31.65,9962257,0.96,-116.27,-0.15,152,,31.95,0.0,,0.0,,-372.36,-417.96,9.79,4.76,112.24,0.0,0.0,File_1338.json
30.96,10093321,0.96,-116.64,-0.19,154,,27.47,0.0,,0.0,,-372.36,-417.96,9.83,1.76,110.72,0.0,0.0,File_3792.json
31.39,11207488,0.88,-115.82,-0.04,171,,42.41,0.0,,0.0,,-372.36,-417.96,9.71,13.24,117.92,0.0,0.0,File_16228.json
31.45,11731781,0.99,-116.18,-0.04,179,,31.75,0.0,,0.0,,-372.36,-417.96,9.79,6.37,117.90,0.0,0.0,File_4259.json
30.90,1114171,0.96,-116.18,-0.04,17,,39.62,0.0,,0.0,,-372.36,-417.96,9.71,11.49,7.85,0.0,0.0,File_12038.json
31.08,10879796,0.92,-116.36,0.00,166,,39.47,0.0,,0.0,,-372.36,-417.96,9.71,14.12,116.49,0.0,0.0,File_12998.json
31.14,1048665,0.80,-116.18,0.00,16,,26.72,0.0,,0.0,,-372.36,-417.96,9.75,2.54,12.85,0.0,0.0,File_7697.json
31.28,10879790,0.96,-116.00,-0.04,166,,34.10,0.0,,0.0,,-372.36,-417.96,9.75,13.24,115.51,0.0,0.0,File_10370.json
